timestamp,timestampType,partition,offset,key,value,headers,exceededFields
1771970887882,CREATE_TIME,0,3764680,48,"{""t"":1771970887,""truck_id"":48,""timestamp"":""2026-02-24T22:08:07.882118+00:00"",""latitude"":37.08,""longitude"":-121.94,""speed_mph"":49.85,""current_node"":19,""next_node"":19,""destination_node"":19,""at_node"":true,""is_facility_node"":false,""edge_travel_time_min"":""48.0"",""edge_progress_frac"":""0.0""}",[],
1771970887882,CREATE_TIME,0,3764681,49,"{""t"":1771970887,""truck_id"":49,""timestamp"":""2026-02-24T22:08:07.882183+00:00"",""latitude"":37.08,""longitude"":-121.94,""speed_mph"":44.71,""current_node"":19,""next_node"":19,""destination_node"":19,""at_node"":true,""is_facility_node"":false,""edge_travel_time_min"":""32.0"",""edge_progress_frac"":""0.0""}",[],
1771970887882,CREATE_TIME,3,3724931,46,"{""t"":1771970887,""truck_id"":46,""timestamp"":""2026-02-24T22:08:07.881986+00:00"",""latitude"":37.08,""longitude"":-121.94,""speed_mph"":49.88,""current_node"":19,""next_node"":19,""destination_node"":19,""at_node"":true,""is_facility_node"":false,""edge_travel_time_min"":""48.0"",""edge_progress_frac"":""0.0""}",[],
1771970887882,CREATE_TIME,3,3724932,47,"{""t"":1771970887,""truck_id"":47,""timestamp"":""2026-02-24T22:08:07.882052+00:00"",""latitude"":37.08,""longitude"":-121.94,""speed_mph"":45.81,""current_node"":19,""next_node"":19,""destination_node"":19,""at_node"":true,""is_facility_node"":false,""edge_travel_time_min"":""32.0"",""edge_progress_frac"":""0.0""}",[],
1771970887881,CREATE_TIME,1,4137433,31,"{""t"":1771970887,""truck_id"":31,""timestamp"":""2026-02-24T22:08:07.881005+00:00"",""latitude"":37.08,""longitude"":-121.94,""speed_mph"":55.38,""current_node"":19,""next_node"":19,""destination_node"":19,""at_node"":true,""is_facility_node"":false,""edge_travel_time_min"":""48.0"",""edge_progress_frac"":""0.0""}",[],
1771970887881,CREATE_TIME,1,4137434,32,"{""t"":1771970887,""truck_id"":32,""timestamp"":""2026-02-24T22:08:07.881071+00:00"",""latitude"":37.08,""longitude"":-121.94,""speed_mph"":44.75,""current_node"":19,""next_node"":19,""destination_node"":19,""at_node"":true,""is_facility_node"":false,""edge_travel_time_min"":""48.0"",""edge_progress_frac"":""0.0""}",[],
1771970887881,CREATE_TIME,1,4137435,39,"{""t"":1771970887,""truck_id"":39,""timestamp"":""2026-02-24T22:08:07.881528+00:00"",""latitude"":37.08,""longitude"":-121.94,""speed_mph"":54.88,""current_node"":19,""next_node"":19,""destination_node"":19,""at_node"":true,""is_facility_node"":false,""edge_travel_time_min"":""48.0"",""edge_progress_frac"":""0.0""}",[],
1771970887881,CREATE_TIME,1,4137436,45,"{""t"":1771970887,""truck_id"":45,""timestamp"":""2026-02-24T22:08:07.881920+00:00"",""latitude"":37.08,""longitude"":-121.94,""speed_mph"":54.98,""current_node"":19,""next_node"":19,""destination_node"":19,""at_node"":true,""is_facility_node"":false,""edge_travel_time_min"":""48.0"",""edge_progress_frac"":""0.0""}",[],
1771970887881,CREATE_TIME,2,3693891,34,"{""t"":1771970887,""truck_id"":34,""timestamp"":""2026-02-24T22:08:07.881201+00:00"",""latitude"":37.08,""longitude"":-121.94,""speed_mph"":47.54,""current_node"":19,""next_node"":19,""destination_node"":19,""at_node"":true,""is_facility_node"":false,""edge_travel_time_min"":""48.0"",""edge_progress_frac"":""0.0""}",[],
1771970887881,CREATE_TIME,2,3693892,40,"{""t"":1771970887,""truck_id"":40,""timestamp"":""2026-02-24T22:08:07.881593+00:00"",""latitude"":37.08,""longitude"":-121.94,""speed_mph"":47.39,""current_node"":19,""next_node"":19,""destination_node"":19,""at_node"":true,""is_facility_node"":false,""edge_travel_time_min"":""48.0"",""edge_progress_frac"":""0.0""}",[],
